timestamp,side,quantity,price,calculated_amount,fee,PnL,Cumulative_PnL
2024-03-07 23:28:00,0,0.1,94656000,9465600.0,4732.8,9460867.2,9460867.2
2024-03-07 23:30:00,1,0.011000000000000001,94686000,1041546.0000000001,520.77,-1042066.7700000001,8418800.43
2024-03-07 23:30:00,1,0.02093746,94686000,1982484.3375600001,991.24,-1983475.5775600001,6435324.85244
2024-03-07 23:30:00,1,0.01056077,94686000,999957.06822,499.97,-1000457.03822,5434867.81422
2024-03-07 23:30:00,1,0.01415855,94686000,1340616.4653,670.3,-1341286.7653,4093581.04892
2024-03-07 23:31:00,0,0.1,94565000,9456500.0,4728.25,9451771.75,13545352.79892
2024-03-07 23:31:00,1,0.0433,94567000,4094751.0999999996,2047.37,-4096798.4699999997,9448554.32892
2024-03-07 23:31:00,1,0.00105637,94663000,99999.15331000001,49.99,-100049.14331000001,9348505.18561
2024-03-07 23:32:00,1,0.0989,94654000,9361280.6,4680.64,-9365961.24,-17456.05439000018
2024-03-08 00:31:00,0,0.00986257,94343000,930464.4415099999,465.23,929999.2115099999,912543.1571199998
2024-03-08 00:31:00,0,0.01678109,94343000,1583178.3738699998,791.58,1582386.7938699997,2494929.9509899993
2024-03-08 00:35:00,1,0.00105673,94631000,99999.41663,49.99,-100049.40663000001,2394880.5443599992
2024-03-08 00:35:00,1,0.00500062,94631000,473213.67122,236.6,-473450.27122,1921430.2731399992
2024-03-08 00:35:00,1,0.00064265,94631000,60814.61215,30.4,-60845.01215,1860585.2609899992
2024-03-08 00:35:00,1,0.02,94631000,1892620.0,946.31,-1893566.31,-32981.04901000089
2024-03-08 00:41:00,0,0.0032258000000000005,94703000,305492.93740000005,152.74,305340.19740000006,272359.1483899992
2024-03-08 00:54:00,1,0.0032,94988000,303961.60000000003,151.98,-304113.58,-31754.431610000844
2024-03-08 00:55:00,0,0.0055,94878000,521828.99999999994,260.91,521568.08999999997,489813.6583899991
2024-03-08 00:55:00,0,0.02128995,94878000,2019947.8760999998,1009.97,2018937.9060999998,2508751.564489999
